id,shop_type,name,sub_type,sub_name,goods_type,goods_id,img_id,quality,price_type,price,min,max,b_limited_times,b_limited_time,used_time,need_vip_lv,is_new,sell_way
"17030","7","零件","0","0","102","273104","273103","3","5","100","1","1","0","0","0","0","0","0"
"17031","7","零件","0","0","102","273105","273103","3","5","100","1","1","0","0","0","0","0","0"
"17032","7","零件","0","0","102","273106","273103","3","5","100","1","1","0","0","0","0","0","0"
"17033","7","零件","0","0","102","273201","273204","3","5","100","1","1","0","0","0","0","0","0"
"17034","7","零件","0","0","102","273203","273202","3","5","100","1","1","0","0","0","0","0","0"
"17035","7","零件","0","0","102","273204","273201","3","5","100","1","1","0","0","0","0","0","0"
"17036","7","零件","0","0","102","273205","273204","3","5","100","1","1","0","0","0","0","0","0"
"17037","7","零件","0","0","102","273206","273203","3","5","100","1","1","0","0","0","0","0","0"
"17038","7","零件","0","0","102","273301","273301","3","5","100","1","1","0","0","0","0","0","0"
"17039","7","零件","0","0","102","273302","273301","3","5","100","1","1","0","0","0","0","0","0"
"17040","7","零件","0","0","102","273303","273301","3","5","100","1","1","0","0","0","0","0","0"
"17041","7","零件","0","0","102","273304","273302","3","5","100","1","1","0","0","0","0","0","0"
"17042","7","零件","0","0","102","273306","273303","3","5","100","1","1","0","0","0","0","0","0"
"17043","7","零件","0","0","102","274101","274101","3","5","400","1","1","0","0","0","0","0","0"
"17044","7","零件","0","0","102","274102","274101","3","5","401","1","1","0","0","0","0","0","0"
"17045","7","零件","0","0","102","274103","274102","3","5","402","1","1","0","0","0","0","0","0"
"17046","7","零件","0","0","102","274105","274103","4","5","403","1","1","0","0","0","0","0","0"
"17047","7","零件","0","0","102","274106","274103","4","5","404","1","1","0","0","0","0","0","0"
"17048","7","零件","0","0","102","274107","274103","4","5","405","1","1","0","0","0","0","0","0"
"17049","7","零件","0","0","102","274201","274201","4","5","406","1","1","0","0","0","0","0","0"
"17050","7","零件","0","0","102","274202","274201","4","5","407","1","1","0","0","0","0","0","0"
"17051","7","零件","0","0","102","274203","274202","4","5","408","1","1","0","0","0","0","0","0"
"17052","7","零件","0","0","102","274204","274203","4","5","409","1","1","0","0","0","0","0","0"
"17053","7","零件","0","0","102","274205","274204","4","5","410","1","1","0","0","0","0","0","0"
"17054","7","零件","0","0","102","274207","274203","4","5","411","1","1","0","0","0","0","0","0"
"17055","7","零件","0","0","102","274301","274301","4","5","412","1","1","0","0","0","0","0","0"
"17056","7","零件","0","0","102","274302","274301","4","5","413","1","1","0","0","0","0","0","0"
"17057","7","零件","0","0","102","274303","274301","4","5","414","1","1","0","0","0","0","0","0"
"17058","7","零件","0","0","102","274304","274302","4","5","415","1","1","0","0","0","0","0","0"
"17059","7","零件","0","0","102","274305","274302","4","5","416","1","1","0","0","0","0","0","0"
"17060","7","零件","0","0","102","274307","274303","4","5","417","1","1","0","0","0","0","0","0"
"17061","7","零件","0","0","102","275101","275101","4","5","1600","1","1","0","0","0","0","0","0"
"17062","7","零件","0","0","102","275102","275101","4","5","1600","1","1","0","0","0","0","0","0"
"17063","7","零件","0","0","102","275103","275102","4","5","1600","1","1","0","0","0","0","0","0"
"17064","7","零件","0","0","102","275104","275102","4","5","1600","1","1","0","0","0","0","0","0"
"17065","7","零件","0","0","102","275106","275103","4","5","1600","1","1","0","0","0","0","0","0"
"17066","7","零件","0","0","102","275107","275103","4","5","1600","1","1","0","0","0","0","0","0"
"17067","7","零件","0","0","102","275108","275103","5","5","1600","1","1","0","0","0","0","0","0"
"17068","7","零件","0","0","102","275201","275201","5","5","1600","1","1","0","0","0","0","0","0"
"17069","7","零件","0","0","102","275203","275201","5","5","1600","1","1","0","0","0","0","0","0"
"17070","7","零件","0","0","102","275204","275202","5","5","1600","1","1","0","0","0","0","0","0"
"17071","7","零件","0","0","102","275205","275202","5","5","1600","1","1","0","0","0","0","0","0"
"17072","7","零件","0","0","102","275206","275203","5","5","1600","1","1","0","0","0","0","0","0"
"17073","7","零件","0","0","102","275207","275204","5","5","1600","1","1","0","0","0","0","0","0"
"17074","7","零件","0","0","102","275208","275204","5","5","1600","1","1","0","0","0","0","0","0"
"17075","7","零件","0","0","102","275301","275301","5","5","1600","1","1","0","0","0","0","0","0"
"17076","7","零件","0","0","102","275302","275301","5","5","1600","1","1","0","0","0","0","0","0"
"17077","7","零件","0","0","102","275303","275301","5","5","1600","1","1","0","0","0","0","0","0"
"17078","7","零件","0","0","102","275304","275302","5","5","1600","1","1","0","0","0","0","0","0"
"17079","7","零件","0","0","102","275305","275301","5","5","1600","1","1","0","0","0","0","0","0"
"17080","7","零件","0","0","102","275306","275302","5","5","1600","1","1","0","0","0","0","0","0"
"17081","7","零件","0","0","102","275307","275303","5","5","1600","1","1","0","0","0","0","0","0"
