$id,name,intro
202053,Imperial Guard,Use to get a 7 days free trial of Imperial Guard skin or get 30 diamonds if you already have the skin.
202061,Maintaining Expert,Use to get a 1 day free trial of Maintaining Expert skin or get 5 diamonds if you already have the skin.
202062,Maintaining Expert,Use to get a 3 days free trial of Maintaining Expert skin or get 15 diamonds if you already have the skin.
202063,Maintaining Expert,Use to get a 7 days free trial of Maintaining Expert skin or get 30 diamonds if you already have the skin.
202071,Assassin,Use to get a 1 day free trial of Assassint skin or get 5 diamonds if you already have the skin.
202072,Assassin,Use to get a 3 days free trial of Assassint skin or get 15 diamonds if you already have the skin.
202073,Assassin,Use to get a 7 days free trial of Assassint skin or get 30 diamonds if you already have the skin.
202081,Death Bringer,Use to get a 1 day free trial of Death Bringer skin or get 5 diamonds if you already have the skin.
202082,Death Bringer,Use to get a 3 days free trial of Death Bringer skin or get 15 diamonds if you already have the skin.
202083,Death Bringer,Use to get a 7 days free trial of Death Bringer skin or get 30 diamonds if you already have the skin.
202091,Cowboy of the Doom,Use to get a 1 day free trial of Cowboy of the Doom skin or get 5 diamonds if you already have the skin.
202092,Cowboy of the Doom,Use to get a 3 days free trial of Cowboy of the Doom skin or get 15 diamonds if you already have the skin.
202093,Cowboy of the Doom,Use to get a 7 days free trial of Cowboy of the Doom skin or get 30 diamonds if you already have the skin.
202101,Flame Controller,Use to get a 1 day free trial of Flame Controller skin or get 5 diamonds if you already have the skin.
202102,Flame Controller,Use to get a 3 days free trial of Flame Controller skin or get 15 diamonds if you already have the skin.
202103,Flame Controller,Use to get a 7 days free trial of Flame Controller skin or get 30 diamonds if you already have the skin.
202111,Electrical Queen,Use to get a 1 day free trial of Electrical Queen skin or get 5 diamonds if you already have the skin.
202112,Electrical Queen,Use to get a 3 days free trial of Electrical Queen skin or get 15 diamonds if you already have the skin.
202113,Electrical Queen,Use to get a 7 days free trial of Electrical Queen skin or get 30 diamonds if you already have the skin.
203002,【Saisi】Fragment,Collect 50 pcs to exchange for Saisi (permanent).
203003,【Joan】Fragment,Collect 50 pcs to exchange for Joan (permanent).
203004,【Fox】Fragment,Collect 50 pcs to exchange for Fox (permanent).
203005,【Li Long】Fragment,Collect 50 pcs to exchange for Li Long (permanent).
203006,【Catherine】Fragment,Collect 50 pcs to exchange for Catherine (permanent).
203007,【Logan】Fragment,Collect 50 pcs to exchange for Logan (permanent).
203008,【Amir】Fragment,Collect 50 pcs to exchange for Amir (permanent).
203009, 【Goro】 Fragment,Collect 50 pcs to exchange for Goro (permanent).
203010,【FireKing】Fragment,Collect 50 pcs to exchange for FireKing (permanent).
203011,【Nasha】Fragment,Collect 50 pcs to exchange for Nasha (permanent).
203090,Hero Fragment,Collect various amounts of this fragment to exchange for specific heroes.
204000,【Interstellar Knight】Fragment,Collect 50 pcs to exchange for Interstellar Knight skin (permanent).
204001,【Modern Armor】Fragment,Collect 50 pcs to exchange for Modern Armor skin (permanent).
204002,【Renegade】Fragment,Collect 50 pcs to exchange for Renegade skin (permanent).
204003,【Ghost】Fragment,Collect 50 pcs to exchange for Ghost skin (permanent).
204004,【Nurse】Fragment,Collect 50 pcs to exchange for Nurse skin (permanent).
204005,【Imperial Guard】Fragment,Collect 50 pcs to exchange for Imperial Guard skin (permanent).
204006,【Maintaining Expert】Fragment,Collect 50 pcs to exchange for Maintaining Expert skin (permanent).
204007,【Assassin】Fragment,Collect 50 pcs to exchange for Assassin skin (permanent).
204008,【Death Bringer】Fragment,Collect 50 pcs to exchange for Death Bringer skin (permanent).
204009,【Cowboy of the Doom】Fragment,Collect 50 pcs to exchange for Cowboy of the Doom skin (permanent).
204010,【Flame Controller】Fragment,Collect 50 pcs to exchange for Flame Controller skin (permanent).
204011,【Electrical Queen】Fragment,Collect 50 pcs to exchange for Electrical Queen skin (permanent).
204090,Skin Fragment,Collect various amounts of this fragment to unlock specific skins.
209001,Rename Card,Use to change your player name
210001,Lv.1 Component Chest,Open to get a random Lv.1 component.
210002,Lv.2 Component Chest,Open to get a random Lv.2 component.
210003,Lv.3 Component Chest,Open to get a random Lv.3 component.
210004,Lv.4 Component Chest,Open to get a random Lv.4 component.
210005,Lv.5 Component Chest,Open to get a random Lv.5 component.
210051,Hero Trial Chest,Open to get a random hero trial card.
210052,Skin Trial Chest,Open to get a random skin trial card.
210053,Hero Trial Chest - Gaia,Open to get a trial card of Gaia for 1-3 days randomly.
210054,Hero Trial Chest - Theodor,Open to get a trial card of Theodor for 1-3 days randomly.
210055,Hero Trial Chest - Saisi,Open to get a trial card of Saisi for 1-3 days randomly.
210056,Hero Trial Chest - Joan,Open to get a trial card of Joan for 1-3 days randomly.
210057,Hero Trial Chest - Fox,Open to get a trial card of Fox for 1-3 days randomly.
210058,Hero Trial Chest - Li Long,Open to get a trial card of Li Long for 1-3 days randomly.
210059,Hero Trial Chest - Catherine,Open to get a trial card of Catherine for 1-3 days randomly.
210060,Hero Trial Chest - Logan,Open to get a trial card of Logan for 1-3 days randomly.
210061,Hero Trial Chest - Amir,Open to get a trial card of Amir for 1-3 days randomly.
210062,Hero Trial Chest - Goro,Open to get a trial card of Goro for 1-3 days randomly.
210063,Hero Trial Chest - FireKing,Open to get a trial card of FireKing for 1-3 days randomly.
210064,Hero Trial Chest - Nasha,Open to get a trial card of Nasha for 1-3 days randomly.
210065,Skin Trial Chest - Gaia,Open to get a skin trial card of Gaia for 1-3 days randomly.
210066,Skin Trial Chest - Theodor,Open to get a skin trial card of Theodor for 1-3 days randomly.
210067,Skin Trial Chest - Saisi,Open to get a skin trial card of Saisi for 1-3 days randomly.
210068,Skin Trial Chest - Joan,Open to get a skin trial card of Joan for 1-3 days randomly.
210069,Skin Trial Chest - Fox,Open to get a skin trial card of Fox for 1-3 days randomly.
210070,Skin Trial Chest - Li Long,Open to get a skin trial card of Li Long for 1-3 days randomly.
210071,Skin Trial Chest - Catherine,Open to get a skin trial card of Catherine for 1-3 days randomly.
210072,Skin Trial Chest - Logan,Open to get a skin trial card of Logan for 1-3 days randomly.
210073,Skin Trial Chest - Amir,Open to get a skin trial card of Amir for 1-3 days randomly.
210074,Skin Trial Chest - Goro,Open to get a skin trial card of Goro for 1-3 days randomly.
210075,Skin Trial Chest - FireKing,Open to get a skin trial card of FireKing for 1-3 days randomly.
210076,Skin Trial Chest - Nasha,Open to get a skin trial card of Nasha for 1-3 days randomly.
210101,Gold Chest,Open to get 1-50 gold randomly.
210102,Diamond Chest,Open to get 1-30 diamond randomly.
210201,Lv.3 Red Component Chest,Open to get a random lv.3 red component.
210202,Lv.3 Green Component Chest,Open to get a random lv.3 green component.
210203,Lv.3 Blue Component Chest,Open to get a random lv.3 blue component.
210204,Lv.4 Red Component Chest,Open to get a random lv.4 red component.
210205,Lv.4 Green Component Chest,Open to get a random lv.4 green component.
210206,Lv.4 Blue Component Chest,Open to get a random lv.4 blue component.
250001,Heavy-duty Grenade,A grenade with enormous power. Deals AoE damage.
250002,Flash-Bang,Enemies within range who are facing the explosion 
250003,Incendiary Grenade,Enemies within range will take damage multiple times.
271101,Lv.1: Ammo,Damage +0.4%
271102,Lv.1: Gas Action,Crit +0.4
271103,Lv.1: Rifled Bore,Fire Rate +0.47%
271104,Lv.1: Bolt,Pierce  +1.0
271201,Lv.1: Carbon,Armor +1.4
271202,Lv.1: Activation,HP +3.1
271203,Lv.1: Focus,Range +0.45%
271204,Lv.1: Artful,Item STR +0.5
271301,Lv.1: Advancement,Speed +0.4
271302,Lv.1: Jet,"Speed +0.2, HP +1.6"
271303,Lv.1: Magazine,"Magazine +0.2, HP +1.8"
271304,Lv.1: Machine,Reload Time -0.01
272101,Lv.1: Bullet,Damage +0.54%
272102,Lv.2: Cartridge,Crit +0.6
272103,Lv.2: Receiver,"Crit +0.5, Fire Rate +0.12%"
272104,Lv.2: Trigger,Fire Rate +0.63%
272105,Lv.2: Sights,"Pierce +1.0, Damage +0.18%"
272201,Lv.2: Hardening,Armor +1.9
272202,Lv.2: Vitality,HP +4.2
272203,Lv.2: Excitement,"HP +2.8, Damage +0.18%"
272204,Lv.2: Concentration,Range +0.6%
272205,Lv.2: Specialization,Item STR +0.7
272301,Lv.2: Power,Speed +0.6
272302,Lv.2: Injection,"Speed +0.4, Crit +0.2"
272303,Lv.2: Capacity,"Magazine +0.3, Armor +0.8"
272304,Lv.2: Fold,"Magazine +0.2, HP +3"
272305,Lv.2: Buckle,Reload Time -0.02
273101,Lv.3: Firing Pin,Damage +0.78%
273103,Lv.3: Coating,Crit +0.8
273104,Lv.3: Stock,Fire Rate +0.9%
273105,Lv.3: Grip,"Fire Rate +0.6%, Damage +0.26%"
273106,Lv.3: Trigger Mechanism,Pierce +2.2
273201,Lv.3: Shuttle,"Item STR +0.8, Armor +1.1"
273203,Lv.3: Sublimation,HP +6.1
273204,Lv.3: Tactical,Armor +2.7
273205,Lv.3: Blossom,Item STR +1
273206,Lv.3: Extension,Range +0.88%
273301,Lv.3: Fleet of Foot,Speed +0.9
273302,Lv.3: Surge,"Speed +0.5, Fire Rate +0.4%"
273303,Lv.3: Fashionable,"Speed +0.4, Item STR +0.6"
273304,Lv.3: Compression,"Magazine +0.4, Armor +1.6"
273306,Lv.3: Manual Speed,Reload Time -0.03
274101,Lv.4: Firepower,Damage +1.2%
274102,Lv.4: Storm,"Damage +0.6%, Crit +0.3, Item STR +0.4"
274103,Lv.4: Trial,Crit +1.2
274105,Lv.4: Overwhelming Force,Fire Rate +1.4%
274106,Lv.4: Insanity,"Fire Rate +0.8%, Damage +0.4%"
274107,Lv.4: Fearlessness,Pierce +3.3
274201,Lv.4: Protection,Armor +4.2
274202,Lv.4: Fearless,"Armor +2.1, Item STR +0.8"
274203,Lv.4: Sturdiness,HP +9.4
274204,Lv.4: Nourishment,"HP +4.7, Range +0.07%"
274205,Lv.4: Item,Item STR +1.6
274207,Lv.4: Expansion,Range +1.34%
274301,Lv.4: Traceless,Speed +1.4
274302,Lv.4: Shadowless,"Speed +0.7, HP +4.7"
274303,Lv.4: Super Speed,"Speed +0.7, Item STR +0.8"
274304,Lv.4: Release,"Magazine +0.5, Pierce +2.2"
274305,Lv.4: Endurance,"Magazine +0.5, Armor +2.9"
274307,Lv.4: Smooth,"Reload Time -0.04, Armor +2.5"
275101,Lv.5: Powerhouse,Damage +2%
275102,Lv.5: Sweep,"Damage +1.5%, Speed +0.6"
275103,Lv.5: Elite Warrior,Crit +2
275104,Lv.5: Runaway,"Crit +1.5, Fire Rate +0.6%"
275106,Lv.5: Phantom,Fire Rate +2.3%
275107,Lv.5: Flight,"Fire Rate +1.2%, Damage +1%"
275108,Lv.5: Legend,Pierce +5.5
275201,Lv.5: Behemoth,Armor +6.9
275203,Lv.5: Tyrant,"Armor +3.5, HP +7.7"
275204,Lv.5: Recovery,HP +15.4
275205,Lv.5: Power,"HP +7.7, Item STR +1.3"
275206,Lv.5: Boundless,Range +2.2%
275207,Lv.5: Grandmaster,Item STR +2.6
275208,Lv.5: Versatility,"Item STR +1.3, Pierce +2.8"
275301,Lv.5: Divine Mobility,Speed +2.4
275302,Lv.5: Thousand Miles,"Speed +1.8, Crit +0.5"
275303,Lv.5: Divine Speed,"Speed +1.8, Armor +1.7"
275304,Lv.5: Sea,"Magazine +0.6, HP +11.8"
275305,Lv.5: Limitless,"Magazine +0.6, Speed +1.8"
275306,Lv.5: Hundred Rivers,"Magazine +0.4, Armor +5.8"
275307,Lv.5: Flash,"Reload Time -0.08, HP +6.1, Armor +2.3"
