$id,name,intro
953303,Damage Dealer 3,Accumulate 100000 damage dealt in PVP battles
953304,Damage Dealer 4,Accumulate 200000 damage dealt in PVP battles
953305,Damage Dealer 5,Accumulate 500000 damage dealt in PVP battles
953306,Damage Dealer 6,Accumulate 1000000 damage dealt in PVP battles
953307,Damage Dealer 7,Accumulate 2000000 damage dealt in PVP battles
953308,Damage Dealer 8,Accumulate 5000000 damage dealt in PVP battles
953401,Meat Shield 1,Accumulate 5000 damage taken in PVP battles
953402,Meat Shield 2,Accumulate 10000 damage taken in PVP battles
953403,Meat Shield 3,Accumulate 50000 damage taken in PVP battles
953404,Meat Shield 4,Accumulate 100000 damage taken in PVP battles
953405,Meat Shield 5,Accumulate 200000 damage taken in PVP battles
953406,Meat Shield 6,Accumulate 500000 damage taken in PVP battles
953407,Meat Shield 7,Accumulate 1000000 damage taken in PVP battles
953408,Meat Shield 8,Accumulate 2000000 damage taken in PVP battles
