box_id,img_id,name,intro,note,quality
"400001","400001","Level 1 Component Chest","Open to get a random Level 1 Component","里面配置了所有的1级零件各1个","1"
"400002","400002","Level 2 Component Chest","Open to get a random Level 2 Component","里面配置了所有的2级零件各1个","2"
"400003","400003","Level 3 Component Chest","Open to get a random Level 3 Component","里面配置了所有的3级零件各1个","3"
"482008","0","Level 40 Pack","Reach Level 40 to claim, open to get all items","等级达到50级时可领取，打开后获得全部物品","1"
"482009","0","Level 50 Pack","Reach Level 50 to claim, open to get all items","等级达到60级时可领取，打开后获得全部物品","1"
"482006","0","Level 30 Pack","Reach Level 30 to claim, open to get all items","等级达到30级时可领取，打开后获得全部物品","1"
"482007","0","Level 35 Pack","Reach Level 35 to claim, open to get all items","等级达到40级时可领取，打开后获得全部物品","1"
"482004","0","Level 20 Pack","Reach Level 20 to claim, open to get all items","等级达到20级时可领取，打开后获得全部物品","1"
"482005","0","Level 25 Pack","Reach Level 25 to claim, open to get all items","等级达到25级时可领取，打开后获得全部物品","1"
"482002","0","Level 10 Pack","Reach Level 10 to claim, open to get all items","等级达到10级时可领取，打开后获得全部物品","1"
"482003","0","Level 15 Pack","Reach Level 15 to claim, open to get all items","等级达到15级时可领取，打开后获得全部物品","1"
"482001","0","Level 5 Pack","Reach Level 5 to claim, open to get all items","等级达到5级时可领取，打开后获得全部物品","1"
"434003","400023","Skin Pack of Li Long","Open to get 1 reward from the following items randomly","","5"
"434002","400023","Skin Pack of Fox","Open to get 1 reward from the following items randomly","","5"
"434001","400023","Skin Pack of Saisi","Open to get 1 reward from the following items randomly","","5"
"434004","400023","Skin Pack of FireKing","Open to get 1 reward from the following items randomly","","5"
"420032","400003","Diamond Chest","Open to get 1-30 diamond randomly.","","4"
"420031","400004","Gold Chest","Open to get 1-50 gold randomly.","","4"
"451000","0","Single draw by gold","Open to get a random lv. 1-2 component","爱买不买","1"
"490081","490081","200 Activity Points Pack","Earn all the rewards in this chest by reaching 200 Activity Points","当活跃度达到150时，就可以领取该宝箱内的所有奖励","1"
"490080","490080","60 Activity Points Pack","Earn all the rewards in this chest by reaching 60 Activity Points","当活跃度达到150时，就可以领取该宝箱内的所有奖励","1"
"490082","490082","350 Activity Points Pack","Earn all the rewards in this chest by reaching 350 Activity Points","当活跃度达到500时，就可以领取该宝箱内的所有奖励","1"
"470000","400003","Market Test Reward Chest","0","商城测试宝箱","1"
"454000","0","5th time of diamond drawing","Open to get a random lv. 4-5 component","爱买不买","1"
"486010","0","钻石夺宝周累计宝箱5","","钻石夺宝周次数达到72次即可领取","1"
"432001","400024","Extra-value Hero Pack","Open to get permanent heroes Catherine and Amir.","","5"
"485003","0","15 Minutes Online Pack","Earn by Spending 15 Min Online","在线15分钟即可领取","1"
"485002","0","10 Minutes Online Pack","Earn by Spending 10 Min Online","在线10分钟即可领取","1"
"485001","0","5 Minutes Online Pack","Earn by Spending 5 Min Online","在线5分钟即可领取","1"
"485006","0","2 Hours Online Pack","Earn by Spending 2 Hours Online","在线2小时即可领取","1"
"485005","0","1 Hour Online Pack","Earn by Spending 1 Hour Online","在线1小时即可领取","1"
"485004","0","30 Minutes Online Pack","Earn by Spending 30 Min Online","在线30分钟即可领取","1"
"410005","0","Level 5 Boss Reward Chest","Reward for getting an B rating in a Boss battle","boss战斗中评分为B所对应的奖励","2"
"410004","0","Level 4 Boss Reward Chest","Reward for getting an A rating in a Boss battle","boss战斗中评分为A所对应的奖励","3"
"410006","0","Level 6 Boss Reward Chest","Reward for getting an C rating in a Boss battle","boss战斗中评分为C所对应的奖励","1"
"410001","0","Level 1 Boss Reward Chest","Reward for getting an SSS rating in a Boss battle","boss战斗中评分为SSS所对应的奖励","5"
"410003","0","Level 3 Boss Reward Chest","Reward for getting an S rating in a Boss battle","boss战斗中评分为S所对应的奖励","4"
"410002","0","Level 2 Boss Reward Chest","Reward for getting an SS rating in a Boss battle","boss战斗中评分为SS所对应的奖励","5"
"486002","0","点券夺宝周累计宝箱2","","点券夺宝周次数达到15次即可领取","1"
"486003","0","点券夺宝周累计宝箱3","","点券夺宝周次数达到35次即可领取","1"
"486001","0","点券夺宝周累计宝箱1","","点券夺宝周次数达到5次即可领取","1"
"486006","0","钻石夺宝周累计宝箱1","","钻石夺宝周次数达到5次即可领取","1"
"486007","0","钻石夺宝周累计宝箱2","","钻石夺宝周次数达到12次即可领取","1"
"486004","0","点券夺宝周累计宝箱4","","点券夺宝周次数达到65次即可领取","1"
"486005","0","点券夺宝周累计宝箱5","","点券夺宝周次数达到125次即可领取","1"
"486008","0","钻石夺宝周累计宝箱3","","钻石夺宝周次数达到24次即可领取","1"
"486009","0","钻石夺宝周累计宝箱4","","钻石夺宝周次数达到42次即可领取","1"
"420701","420000","Lv.3 Red Component Chest","Open to get a random lv.3 red component.","","3"
"420703","420000","Lv.3 Blue Component Chest","Open to get a random lv.3 blue component.","","3"
"420702","420000","Lv.3 Green Component Chest","Open to get a random lv.3 green component.","","3"
"420705","420000","Lv.4 Green Component Chest","Open to get a random lv.4 green component.","","4"
"420704","420000","Lv.4 Red Component Chest","Open to get a random lv.4 red component.","","4"
"420706","420000","Lv.4 Blue Component Chest","Open to get a random lv.4 blue component.","","4"
"480004","480004","13 days sign-in reward","Sign-in Reward pack, open to get all items","累计签到的奖励礼包，打开后可获得全部物品","1"
"480001","480001","3 days sign-in reward","Sign-in Reward pack, open to get all items","累计签到的奖励礼包，打开后可获得全部物品","1"
"480002","480002","5 days sign-in reward","Sign-in Reward pack, open to get all items","累计签到的奖励礼包，打开后可获得全部物品","1"
"480003","480003","8 days sign-in reward","Sign-in Reward pack, open to get all items","累计签到的奖励礼包，打开后可获得全部物品","1"
"433004","400021","Pack of FireKing","Open to get 1 reward from the following items randomly","","5"
"433002","400021","Pack of Fox","Open to get 1 reward from the following items randomly","","5"
"433003","400021","Pack of Li Long","Open to get 1 reward from the following items randomly","","5"
"490083","490083","400 Activity Points Pack","Earn all the rewards in this chest by reaching 400 Activity Points","当活跃度达到1000时，就可以领取该宝箱内的所有奖励","1"
"433001","400021","Pack of Saisi","Open to get 1 reward from the following items randomly","","5"
"452000","0","5th time of gold drawing","Open to get a random lv. 2-3 component","爱买不买","1"
